Date : 2022-12-26 10:31:51
Directory : d:\tongban\course\diy-tcpip\code\pc\src
Total : 88 files,  10704 codes, 4413 comments, 2473 blanks, all 17590 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         66 |     10,094 |      4,018 |      2,287 |     16,399 |
| C++      |         22 |        610 |        395 |        186 |      1,191 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                  |         88 |     10,704 |      4,413 |      2,473 |     17,590 |
| app                                                                |         22 |      2,050 |        791 |        480 |      3,321 |
| app\echo                                                           |          8 |        266 |        131 |         61 |        458 |
| app\http                                                           |          2 |        382 |        162 |         91 |        635 |
| app\ntp                                                            |          2 |         90 |         53 |         21 |        164 |
| app\ping                                                           |          2 |        161 |         50 |         39 |        250 |
| app\test                                                           |          2 |        326 |        109 |         78 |        513 |
| app\tftp                                                           |          6 |        825 |        286 |        190 |      1,301 |
| net                                                                |         60 |      7,971 |      3,396 |      1,808 |     13,175 |
| net\net                                                            |         32 |      1,448 |        682 |        374 |      2,504 |
| net\src                                                            |         28 |      6,523 |      2,714 |      1,434 |     10,671 |
| plat                                                               |          6 |        683 |        226 |        185 |      1,094 |
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                           | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\tongban\course\diy-tcpip\code\pc\src\app\echo\tcp_echo_client.c | C        |         97 |         27 |         17 |        141 |
| d:\tongban\course\diy-tcpip\code\pc\src\app\echo\tcp_echo_client.h | C        |          4 |          9 |          3 |         16 |
| d:\tongban\course\diy-tcpip\code\pc\src\app\echo\tcp_echo_server.c | C        |         51 |         21 |         11 |         83 |
| d:\tongban\course\diy-tcpip\code\pc\src\app\echo\tcp_echo_server.h | C++      |          4 |          9 |          3 |         16 |
| d:\tongban\course\diy-tcpip\code\pc\src\app\echo\ucp_echo_client.c | C        |         57 |         24 |         10 |         91 |
